staging_id,investor,invested_amount,invested_equity,invested_debt
529,Aman,80.0,4.444,
529,Peyush,80.0,4.444,
529,Kunal Bahl,80.0,4.444,
530,Vineeta,80.0,2.5,
530,Anupam,80.0,2.5,
531,Vineeta,46.666,2.0,
531,Anupam,46.666,2.0,
531,Peyush,46.666,2.0,
532,Anupam,50.0,10.0,
532,Aman,50.0,10.0,
533,Peyush,50.0,1.0,
534,Aman,50.0,2.5,
535,Aman,100.0,10.0,
536,Aman,100.0,3.0,
538,Namita,75.0,1.75,
538,Aman,75.0,1.75,
539,Kunal Bahl,100.0,8.0,
542,Vineeta,20.0,2.0,
542,Anupam,20.0,2.0,
542,Aman,20.0,2.0,
542,Peyush,20.0,2.0,
542,Kunal Bahl,20.0,2.0,
543,Vineeta,25.0,0.625,
543,Peyush,25.0,0.625,
543,Kunal Bahl,125.0,3.13,
544,Namita,25.0,2.0,
544,Ritesh,25.0,2.0,
545,Anupam,50.0,4.0,
547,Anupam,66.666,6.666,
547,Aman,66.666,6.666,
547,Kunal Bahl,66.666,6.666,
548,Namita,45.0,0.5,
548,Viraj Bahl,45.0,0.5,
550,Anupam,50.0,10.0,
554,Ritesh,40.0,2.0,
555,Namita,33.333,0.5,
555,Anupam,33.333,0.5,
555,Ritesh,33.333,0.5,
556,Anupam,33.0,3.5,
556,Aman,33.0,3.5,
557,Vineeta,40.0,4.0,
557,Anupam,40.0,4.0,
558,Namita,10.0,6.0,
558,Anupam,10.0,6.0,
559,Vineeta,50.0,4.5,
559,Anupam,50.0,4.5,
561,Namita,2.0,0.8,
561,Vineeta,2.0,0.8,
561,Anupam,2.0,0.8,
561,Aman,2.0,0.8,
561,Peyush,2.0,0.8,
562,Anupam,15.0,5.0,10.0
562,Peyush,15.0,5.0,10.0
565,Namita,60.0,1.0,
567,Namita,50.0,2.38,
567,Peyush,50.0,2.38,
568,Anupam,40.0,20.0,
571,Vineeta,50.0,1.75,
571,Anupam,50.0,1.75,
571,Aman,50.0,1.75,
571,Peyush,50.0,1.75,
573,Anupam,33.333,1.333,
573,Aman,33.333,1.333,
573,Peyush,33.333,1.333,
574,Aman,50.0,2.5,
574,Kunal Bahl,50.0,2.5,
575,Vineeta,7.2,1.0,
575,Anupam,7.2,1.0,
575,Aman,7.2,1.0,
575,Peyush,7.2,1.0,
575,Kunal Bahl,7.2,1.0,
577,Ritesh,50.0,5.0,
578,Namita,63.0,0.5,
578,Ritesh,63.0,0.5,
580,Anupam,70.0,5.0,
581,Aman,100.0,2.5,
583,Anupam,50.0,2.0,
583,Aman,50.0,2.0,
584,Ritesh,100.0,1.6,
586,Ritesh,50.0,2.5,
589,Namita,16.666,2.0,16.666
589,Vineeta,16.666,2.0,16.666
589,Ritesh,16.666,2.0,16.666
590,Namita,50.0,0.5,
591,Ritesh,75.0,2.5,
592,Ritesh,50.0,3.0,50.0
594,Aman,5.0,2.0,45.0
596,Vineeta,75.0,2.0,
598,Aman,300.0,6.0,
599,Namita,50.0,5.0,
600,Ritesh,50.0,5.0,50.0
603,Ritesh,50.0,2.8,
605,Namita,75.0,0.5,
605,Vineeta,75.0,0.5,
607,Vineeta,50.0,1.0,50.0
610,Vineeta,37.5,0.75,
610,Ritesh,37.5,0.75,
611,Vineeta,15.0,1.5,
611,Aman,15.0,1.5,
620,Vineeta,17.5,2.5,
620,Aman,17.5,2.5,
623,Anupam,50.0,9.0,
623,Viraj Bahl,50.0,9.0,
624,Namita,100.0,1.0,200.0
629,Namita,50.0,2.5,
629,Anupam,50.0,2.5,
629,Aman,50.0,2.5,
629,Chirag Nakrani,50.0,2.5,
630,Ritesh,25.0,0.5,25.0
630,Chirag Nakrani,25.0,0.5,25.0
632,Anupam,10.65,3.5,
632,Aman,10.65,3.5,
633,Namita,40.0,1.0,40.0
