staging_id,company,season,episode_number,pitch_number,season_start,season_end,original_air_date,episode_title,anchor,sector,business_description,company_website,started_in,founder_count,male_presenters,female_presenters,transgender_presenters,couple_presenters,pitchers_average_age,pitchers_city,pitchers_state,yearly_revenue,monthly_sales,gross_margin,net_margin,ebitda,cash_burn,skus,has_patents,bootstrapped,part_of_match_off,asked_amount,equity_asked,valuation_requested,received_offer,accepted_offer,invested_amount,equity_final,total_deal_debt,deal_valuation,number_of_sharks_in_deal,deal_has_conditions,royalty_percentage,royalty_recouped_amount,advisory_shares_equity,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,ritesh_present,amit_present,guest_present
209,Bullspree,Season 2,19,209,2023-01-02,2023-03-10,2023-01-26,Building Brands For India,Rahul Dua,Technology/Software,App to learn stock market basics,https://bullspree.com/,,3,3.0,,,0,,Ahmedabad,Gujarat,,,,,,,,0,0,0,75.0,1.5,5000.0,1,1,75.0,2.86,,2622.377622,2.0,0,,,,1,1,1,1,1,0,0,0
210,Snitch,Season 2,20,210,2023-01-02,2023-03-10,2023-01-27,Nurturing Indian Entrepreneurs,Rahul Dua,Beauty/Fashion,Menswear,https://www.snitch.co.in/,2020,1,1.0,,,0,,Bangalore,Karnataka,,,,,,,,0,0,0,150.0,0.5,30000.0,1,1,150.0,1.5,,10000.0,5.0,0,,,,1,1,1,1,1,0,0,0
211,Portl,Season 2,20,211,2023-01-02,2023-03-10,2023-01-27,Nurturing Indian Entrepreneurs,Rahul Dua,Business Services,Portl studio gym,https://portl.co/,,3,3.0,,,0,,Hyderabad,Telangana,,,45.0,,,,,0,0,0,150.0,1.0,15000.0,1,1,150.0,2.5,,6000.0,3.0,0,,,,1,1,1,1,1,0,0,0
212,FatToSlim,Season 2,20,212,2023-01-02,2023-03-10,2023-01-27,Nurturing Indian Entrepreneurs,Rahul Dua,Beauty/Fashion,Diet Plan Weight Loss,http://fattoslimbangalore.com/,,1,,1.0,,0,,Bangalore,Karnataka,,14.0,,,,,,0,0,0,20.0,1.0,2000.0,0,,,,,,,0,,,,1,1,1,1,1,0,0,0
213,CheeseCake&Co.,Season 2,21,213,2023-01-02,2023-03-10,2023-01-30,Adhbhut Aur Anokhe Entrepreneurs,Rahul Dua,Food and Beverage,Cakes Slices,https://cheesecakeco.in/,2018,2,1.0,1.0,,1,,Delhi,Delhi,,194.0,,,,,,0,0,0,100.0,2.0,5000.0,1,0,,,,,,0,,,,1,1,1,1,1,0,0,0
214,Dabble,Season 2,21,214,2023-01-02,2023-03-10,2023-01-30,Adhbhut Aur Anokhe Entrepreneurs,Rahul Dua,Manufacturing,Paints Crayons Brushes,https://dabbleplayart.com/,,2,,2.0,,0,,Bangalore,Karnataka,33.0,8.7,75.0,,,,,0,0,0,50.0,10.0,500.0,1,1,15.0,10.0,35.0,150.0,1.0,0,,,,1,1,1,1,1,0,0,0
215,CloudTailor,Season 2,21,215,2023-01-02,2023-03-10,2023-01-30,Adhbhut Aur Anokhe Entrepreneurs,Rahul Dua,Business Services,Custom tailor online,https://www.cloudtailor.com/,,3,2.0,1.0,,1,,"Bangalore,Hyderabad","Karnataka,Telangana",,34.0,,,,,,0,0,0,100.0,1.4,7142.857143,0,,,,,,,0,,,,1,1,1,1,1,0,0,0
216,BeUnic,Season 2,21,216,2023-01-02,2023-03-10,2023-01-30,Adhbhut Aur Anokhe Entrepreneurs,Rahul Dua,Business Services,Platform for LGBTQ+ creators and entrepreneurs,https://beunic.in/,,3,1.0,1.0,1.0,0,,Noida,Uttar Pradesh,50.0,6.0,,,,,,0,0,0,100.0,10.0,1000.0,1,0,,,,,,0,,,,1,1,1,1,1,0,0,0
217,Broomees,Season 2,22,217,2023-01-02,2023-03-10,2023-01-31,Making Big Businesses,Rahul Dua,Business Services,Helpers homemakers for your home,https://broomees.com/,,3,2.0,1.0,,0,,Delhi,Delhi,,,,,,,,0,0,0,80.0,2.0,4000.0,1,1,100.0,3.0,,3333.333333,3.0,0,,,,1,1,1,1,1,0,0,0
218,Ravel,Season 2,22,218,2023-01-02,2023-03-10,2023-01-31,Making Big Businesses,Rahul Dua,Beauty/Fashion,Custom Hair Products,https://www.ravelcare.com/,2021,1,1.0,,,0,,Amaravati,Maharashtra,,40.0,,,,,,0,0,0,75.0,2.5,3000.0,1,1,75.0,10.0,,750.0,1.0,0,,,,1,1,1,1,1,0,0,0
