deal_id,staging_id,investor,invested_amount,invested_equity,invested_debt
92,65,Anupam,20,2,
93,65,Aman,20,2,
94,65,Peyush,20,2,
95,65,Ashneer Grover,20,2,
96,66,Vineeta,33.33,5,
97,66,Aman,33.33,5,
98,66,Ashneer Grover,33.33,5,
99,67,Peyush,25,75,22
100,68,Vineeta,17.5,12,
101,68,Anupam,17.5,12,
102,69,Anupam,20,1.33,
103,69,Peyush,20,1.33,
104,69,Ashneer Grover,20,1.33,
105,73,Aman,50,10,50
106,77,Anupam,25,17.5,
107,77,Ghazal Alagh,25,17.5,
108,78,Peyush,10,40,20
109,80,Anupam,50,15,
110,81,Namita,20,1.2,
111,81,Vineeta,20,1.2,
112,81,Anupam,20,1.2,
113,81,Peyush,20,1.2,
114,81,Ghazal Alagh,20,1.2,
115,83,Peyush,50,50,
116,85,Namita,65,3,
117,87,Namita,0.0002525,1,
118,87,Anupam,0.0002525,1,
119,87,Peyush,0.0002525,1,
120,87,Ghazal Alagh,0.0002525,1,
121,89,Peyush,100,4,
122,90,Vineeta,33.33,5,
123,90,Peyush,33.33,5,
124,90,Ghazal Alagh,33.33,5,
125,92,Vineeta,16.66,10,
126,92,Peyush,16.66,10,
127,92,Ghazal Alagh,16.66,10,
128,93,Namita,25,7,
129,93,Vineeta,25,7,
130,93,Ghazal Alagh,25,7,
131,97,Namita,40,3,
132,97,Vineeta,40,3,
133,102,Aman,75,2.68,
134,106,Aman,50,2,
135,108,Namita,40,25,
136,110,Anupam,20,3.33,
137,110,Peyush,20,3.33,
138,110,Ashneer Grover,20,3.33,
139,111,Peyush,50,5,
140,111,Ashneer Grover,50,5,
141,112,Namita,10,5,
142,112,Vineeta,10,5,
143,112,"Ghazal Alagh,Ashneer Grover",20,10,
144,116,Vineeta,10,7.5,
145,116,Anupam,10,7.5,
146,116,Aman,10,7.5,
147,116,Ashneer Grover,10,7.5,
148,119,Namita,7,4,
149,119,Vineeta,7,4,
150,119,Aman,7,4,
151,121,Namita,25,2,25
152,121,Peyush,25,2,25
153,123,Peyush,30,5,
154,123,Ghazal Alagh,30,5,
155,153,Aman,50,1,
156,153,Peyush,50,1,
157,154,Vineeta,10,5,
158,154,Anupam,10,5,
159,154,Peyush,10,5,
160,156,Namita,25,5,
161,156,Aman,25,5,
162,157,Vineeta,50,5,50
163,157,Anupam,50,5,50
164,158,Vineeta,50,18,25
165,160,Namita,50,0.2,50
166,160,Aman,50,0.2,50
167,160,Peyush,50,0.2,50
168,161,Namita,20,20,
169,162,Aman,50,3.335,
170,162,Peyush,50,3.335,
171,163,Anupam,20,2,
172,163,Peyush,20,2,
173,164,Namita,35,5,35
174,165,Vineeta,50,5,
175,165,Anupam,50,5,
176,168,Vineeta,12.5,2,
177,168,Anupam,12.5,2,
178,168,Aman,12.5,2,
179,168,Peyush,12.5,2,
180,169,Namita,33.33,0.666,
181,169,Aman,33.33,0.666,
182,169,Peyush,33.33,0.666,
183,172,Vineeta,15,5,
184,172,Aman,15,5,
185,173,Namita,50,3.5,50
186,174,Namita,15,1.5,
187,174,Aman,15,1.5,
188,175,Aman,37.5,1.875,
189,175,Peyush,37.5,1.875,
190,177,Vineeta,32.5,1,
191,177,Aman,32.5,1,
192,178,Namita,50,2,
193,179,Anupam,100,10,
194,181,Namita,25,7.5,50
195,182,Peyush,40,10,
196,183,Aman,37.5,1.5,
197,183,Peyush,37.5,1.5,
198,184,Namita,30,4,50
199,185,Aman,60,4,
200,186,Namita,100,2.5,
201,188,Namita,18.75,3.75,
202,188,Aman,18.75,3.75,
203,188,Peyush,18.75,3.75,
204,188,Amit,18.75,3.75,
205,189,Amit,40,20,
206,191,Anupam,25.5,3,
207,191,Peyush,25.5,3,
208,192,Amit,75,5,
209,194,Amit,72,6.5,
210,195,Aman,45,3.75,
211,195,Peyush,45,3.75,
212,196,Namita,30,3,
213,196,Amit,30,3,
214,197,Namita,19,1,41
215,198,Peyush,50,2,
216,199,Anupam,45,1.5,
217,199,Peyush,45,1.5,
218,202,Peyush,10,10,10
219,202,Amit,10,10,10
220,203,Anupam,50,25,
221,204,Peyush,100,1,
222,205,Amit,25,5,25
223,208,Namita,70,5,
224,209,Aman,37.5,1.43,
225,209,Peyush,37.5,1.43,
226,210,Namita,30,0.3,
227,210,Vineeta,30,0.3,
228,210,Anupam,30,0.3,
229,210,Aman,30,0.3,
230,210,Peyush,30,0.3,
231,211,Namita,50,0.833,
232,211,Aman,50,0.833,
233,211,Peyush,50,0.833,
234,214,Aman,15,10,35
235,217,Namita,33.33,1,
236,217,Aman,33.33,1,
237,217,Peyush,33.33,1,
238,218,Anupam,75,10,
239,219,Vineeta,25,10,12.5
240,219,Anupam,25,10,12.5
241,220,Namita,25,1,
242,220,Vineeta,25,1,
243,220,Anupam,25,1,
244,220,Peyush,25,1,
245,221,Namita,12.5,2.5,12.5
246,221,Vineeta,12.5,2.5,12.5
247,222,Vineeta,15,2.5,
248,222,Peyush,15,2.5,
249,224,Vineeta,33.33,3.33,
250,224,Anupam,33.33,3.33,
251,224,Aman,33.33,3.33,
252,225,Anupam,75,7.5,
253,227,Amit,60,5,
254,228,Anupam,40,20,
255,229,Aman,75,10,
256,231,Namita,50,1,
257,231,Anupam,50,1,
258,231,Aman,50,1,
259,231,Amit,50,1,
260,232,Aman,50,3,25
261,233,Vineeta,100,8,
262,237,Aman,100,1.25,
263,239,Namita,20,1.6,
264,239,Anupam,20,1.6,
265,240,Namita,6,4,
266,240,Vineeta,6,4,
267,240,Anupam,6,4,
268,240,Aman,6,4,
269,240,Peyush,6,4,
270,241,Namita,17.66,0.33,
271,241,Vineeta,17.66,0.33,
272,241,Aman,17.66,0.33,
273,241,Peyush,53,1,
274,243,Aman,90,1,
275,244,Anupam,0,0.166,
276,244,Aman,0,0.166,
277,244,Peyush,0,0.166,
278,247,Namita,40,10,
279,249,Namita,10,5,40
280,250,Anupam,50,7,20
281,251,Namita,50,5,100
282,253,Peyush,10,1,60
283,254,Aman,25,2.5,
284,254,Peyush,25,2.5,
285,255,Vineeta,50,2.5,20
286,256,Namita,26.66,0.833,
287,256,Vineeta,26.66,0.833,
288,256,Peyush,26.66,0.833,
289,258,Peyush,50,10,
290,259,Namita,66.66,0.666,
291,259,Aman,66.66,0.666,
292,259,Peyush,66.66,0.666,
293,260,Amit,25,20,
294,263,Aman,50,2.7,
295,263,Peyush,50,2.7,
296,265,Namita,45,25,
297,267,Amit,50,2.5,
298,268,Aman,25,1.5,
299,268,Peyush,25,1.5,
300,272,Aman,33.5,1.5,
301,272,Amit,33.5,1.5,
302,274,Namita,16.66,1.1666,
303,274,Aman,16.66,1.1666,
304,274,Amit,16.66,1.1666,
305,275,Namita,40,1,
306,275,Anupam,40,1,
307,275,Aman,40,1,
308,275,Peyush,40,1,
309,275,Amit,40,1,
310,278,Aman,30,0.27,30
311,278,Peyush,30,0.27,30
312,280,Namita,25,0.5,25
313,280,Peyush,25,0.5,25
314,282,Vineeta,37.5,0.5,
315,282,Anupam,37.5,0.5,
316,282,Aman,37.5,0.5,
317,282,Peyush,37.5,0.5,
318,283,Aman,80,2,70
319,284,Vineeta,20,1.586,
320,284,Anupam,20,1.586,
321,284,Aman,20,1.586,
322,290,Namita,25,2.08,
323,290,Amit,25,2.08,
324,291,Amit,15,1.5,45
325,293,Vineeta,50,6.5,
326,295,Namita,75,15,
327,297,Vineeta,50,10,50
328,298,Namita,20,1,30
329,299,Peyush,50,10,
330,301,Namita,25,1.25,
331,301,Vineeta,25,1.25,
332,301,Aman,25,1.25,
333,305,Namita,50,5,
334,307,Namita,33.33,0.333,16.66
335,307,Vineeta,33.33,0.333,16.66
336,307,Aman,33.33,0.333,16.66
337,310,Peyush,50,1,50
338,311,Namita,5,5,
339,311,Vineeta,5,5,
340,311,Anupam,5,5,
341,311,Amit,5,5,
342,312,Namita,20,2,
343,312,Anupam,20,2,
344,312,Aman,20,2,
345,312,Peyush,20,2,
346,312,Amit,20,2,
347,314,Amit,10,1,65
348,315,Amit,100,2,
349,318,Aman,40.5,0.5,34.5
350,318,Vikas D Nahar,40.5,0.5,34.5
351,319,Vineeta,25,2.5,12.5
352,319,Vikas D Nahar,25,2.5,12.5
353,320,Amit,80,10,
354,322,Amit,100,3,
355,323,Vineeta,100,1,
356,325,Aman,60,5,
357,327,Aman,150,2,
358,328,Vineeta,10,2.5,15
359,328,Ritesh,10,2.5,15
360,329,Aman,40,2,
361,329,Ritesh,40,2,
362,331,Azhar Iqubal,120,4,
363,332,Peyush,45,0.75,
364,332,Azhar Iqubal,45,0.75,
365,334,Vineeta,50,0.667,
366,334,Peyush,50,0.667,
367,334,Ritesh,50,0.6675,
368,334,Radhika Gupta,50,0.6675,
369,335,Aman,50,1.25,
370,335,Peyush,50,1.25,
371,338,Namita,20,2,
372,338,Anupam,20,2,
373,338,Peyush,20,2,
374,341,Aman,15,2,
375,341,Peyush,15,2,
376,342,Peyush,250,1,
377,343,Peyush,25,10,
378,343,Amit,25,10,
379,344,Anupam,75,1.5,
